Auteur,Date,Commentaire,Note
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
NATHALIE | Homme | France | 10/12/2024,2024-12-10T18:06:18+0100,très agréablement surpris : simplement Top !,5/5
Stéphane | Homme | France | 10/12/2024,2024-12-10T15:43:20+0100,"Super amorti et légère, s'adapte parfaitement à la morphologie du pied très agréable et dynamique",4/5
ISABELLE | France | 09/12/2024,2024-12-09T19:17:27+0100,Très bon produit,5/5
Remy | France | 08/12/2024,2024-12-08T12:44:06+0100,pour une première sortie très bonne sensation a voir a lon terme,5/5
Antoine | Homme | France | 09/12/2024,2024-12-09T12:42:33+0100,Légère et souple,5/5
Sebastien | France | 05/12/2024,2024-12-05T12:29:53+0100,un confort et un rendu de la foulée incroyable sur le bitume ! très bon !,5/5
Michael | Homme | France | 04/12/2024,2024-12-04T09:47:29+0100,legere et stable,5/5
Boris | France | 30/11/2024,2024-11-30T19:08:58+0100,"Très bonne baskets, je cours sur un tapis de course. Elle sont super leger et confortables.",5/5
Anthony | France | 30/11/2024,2024-11-30T18:24:53+0100,"Toujours aussi surprenante cette KS900, chaussures confortables plutôt stable. Seul bémol, semble s’user assez vite environ 1000kms. C’est ma 2 deuxième paire que je conseille aux coureurs réguliers, 5 fois par semaine.",5/5
Julien  | Homme | France | 29/11/2024,2024-11-29T13:48:23+0100,"J'ai utilisé ces chaussures depuis 4 mois pour environ 300km. Utilisée 2 à 3 fois par semaine pour 15-20km par semaine en rotation avec une autre paire plus dynamique avec une attaque plutôt avant pied. Principalement pour de la récup et du footing. Agréable pour du tempo. A éviter pour du fractionné sur des allures plus rapides.  La chaussure est confortable (le réglage du serrage des lacets a nécessité plusieurs reprises pour ma part) et bien amortissante. Le design est sympa mais manque de caractère (seulement le modèle blanc disponible dans mon magasin). Respirante et légère, elles sont agéable en été avec les chaleurs. La semelle montre moins d'usure que l'autre modèle de la marque moins cher que je possède. Le tissu m'a pas montré d'usure particulière. Cependant, le mesh s'est déchiré au niveau de la semelle sur l'extérieur gauche lors d'une sortie. Le produit m'a été échangé de suite en magasin donc plutôt pas de chance d'être tombé sur un modèle défectueux qu'un soucis de qualité finale du produit. Bonne première expérience avec un produit plutôt haut de gamme de la marque (plutôt habitué à prendre le milieu de gamme)",5/5
